quest_number;quest_description;quest_value;quest_repeat;quest_owner
1;Work out at the gym in winter clothing;5;single;none
2;Perform a spex on Spexarevägen;5;single;none
3;Bribe mentors with a cake;5;single;none
4;Make posters to a non-existing course;5;single;none
5;Be BFF''s with a professor';5;single;none
6;Take pictures of a student dormitory (Score after how gross it looks);5;single;none
7;If Finn exists, find Finn;5;single;none
8;Become a master of the universe (Can not be implemented by GLuFS);5;single;none
9;Prevent the margin from being too small (Can not be implemented by LEMUR);5;single;none
10;Think like a plant. (Can not be implemented by BÖÖL);5;single;none
11;Show us how you are going to rock and roll all night. (Can not be implemented by SNYS);5;single;none
12;Fence with the bulls;5;single;none
13;Infiltrate another novisch period;5;single;none
14;Dance the ”Novischdance”;5;single;none
15;Wait for Godot;5;single;none
16;"Question middle school students about what is""cool"" in school playgrounds in Lund today";5;single;none
17;Build a pyramid;5;single;none
18;March in togas in the train;5;single;none
19;"Write ""Luna"" with new students, score after the size.";5;single;none
20;Plant a biologist. (Can not be performed by BÖÖL);5;single;none
21;Run a physical education session with a physicist. (Can not be performed by GLUFS);5;single;none
22;Feed a mathematician. (Can not be performed by LEMUR);5;single;none
23;Bury a geologist (as long as hen gets air). (Can not be performed by SNYS);5;single;none
24;Adopt a pet rock;5;single;none
25;Go sledding down Sölvegatan (Fysicum to Kalmar Nation);5;single;none
26;Floss;5;single ;none
27;Obtain a saber (sabel) and acquire a horse;5;single;none
28;Replace the queue/replace the gender. (Byt kön);5;single;none
29;Roundabout Rave;5;single;none
30;The cake is a lie;5;single;none
31;Borrow a weird book at UB;5;single;none
32;Help a lady across the street;5;single;none
33;Go where pepper grows;5;single;none
34;Stand statue in the city park;5;single;none
35;Skip rope with a giraffe;5;single;none
36;Bring your mascot to the lecture;5;single;none
37;Make a suuuuuper looooong (jäääääääääättelång) spoon (Wikipedia article);5;single;none
38;"Play ""rock, paper, scissor"" in three languages";5;single;none
39;Solve a math problem(high difficulty!!), in a sandbox;5;single;none
40;Play a kids show anthem on glass bottles;5;single;none
41;Make a somersault to get inside Wermlands nation;5;single;none
42;Prove that the high ground is superior;5;single;none
43;Do the creep;5;single;none
44;Order a Royal with cheese;5;single;none
45;Become a shooting star;5;single;none
46;Celebrate Elvira''s birthday';5;single ;none
47;Perform photoception (the more the better);5;single;none
48;Pet cute cats;5;single;none
49;Eat tuna at Tunavägen;5;single;none
50;Enter Juridicum by wheelchair;5;single;none
51;Hang up your own painting in a museum;5;single;none
52;Bake LUNA buns;5;single;none
53;Travel back to the future;5;single;none
54;Make up a sport and get outsiders to participate and compete. (At least 3 people must attend);5;single;none
55;Find the building that changes colour;5;single;none
56;Find the Student Health Centre (you don''t have to book an appointment and don''t bring the mascot inside)';5;single;none
57;Dance ringdance in Stortorget, Måtenstorget and Clemenstorget! (Preferably simultaneously);5;single;none
58;Consume sugar outside the sugar mill;5;single;none
59;Drink red drink from Shell (or Statoil);5;single;none
60;Burn red houses, hit little children and say bad words (Note, do not break the law!);5;single;none
61;Eat brunch at the lecture;5;single;none
62;What is Fubel''s first name?';5;single;none
63;Who are the people on the cover photo on the official facebook page?;5;single;none
64;Eat forbidden fruit in paradise;5;single;none
65;Explore the Underworld (Say hi to Hades);10;single;none
66;Explore Heaven (Say hi to Zeus);10;single;none
67;Find one from Gotland. (Has to be proven. Can''t be part of your team!)';10;single;none
68;Roast EVERYTHING, simultaneously;10;single;none
69;Hold the door;10;single;none
